Accession	p-value	fold_change
158489	0.39	1.426356589147287
442616758	0.15	1.3148148148148149
349669	0.34	1.1797066014669926
320544370	0.41	1.6993865030674846
161077523	0.29	1.1753846153846155
24648576	0.89	1.0233160621761659
320545678	0.23	1.3863636363636365
17137000	0.17	1.2181818181818183
442625663	0.03	1.4666666666666666
17647529	0.00981	0.7910447761194029
386771285	0.2	1.2
17737967	0.32	1.143884892086331
440294	0.59	0.9496166484118291
386766497	0.99	1.0040431266846361
24585709	0.82	0.9536423841059603
442614522	0.02	0.7135135135135136
386763696	0.24	17.66355140186916
33636453	0.24	0.8038528896672504
161076327	0.11	1.2325581395348837
24650278	0.03	1.2516556291390728
1511646	0.8	1.0354609929078014
21392248	0.23	1.2222222222222223
28573937	0.06	1.5241935483870968
24581010	0.98	0.9856262833675564
1923274	0.96	0.9676616915422885
17647799	0.66	0.9142091152815014
17352461	0.46	1.1407407407407408
24653493	0.89	1.0245901639344261
17136290	0.91	1.0121951219512195
17136538	0.2	1.65625
19921944	0.4	1.1572327044025157
6573151	0.95	1.0144927536231885
386767614	0.86	1.0622119815668203
24648964	0.28	1.1542857142857144
62484180	0.58	0.8514412416851441
24661344	0.61	0.8968253968253969
221330583	0.29	1.148578811369509
281363473	0.03	0.6866359447004609
20130403	0.15	0.8165680473372781
24647887	0.78	0.8782608695652174
24583984	0.23	0.8535353535353535
21357739	0.31	1.1313131313131313
320544542	0.11	1.542483660130719
116008198	0.05	0.3177083333333333
28574898	0.27	1.488888888888889
24584700	1.0	0.8507795100222717
13958630	0.58	1.07421875
24652337	0.9	0.9576271186440678
281360949	0.16	1.3388429752066116
18858175	0.21	1.2635658914728682
21356539	0.08	1.5352112676056338
20129061	0.38	1.208
442618017	0.52	1.076271186440678
62472261	0.64	1.063953488372093
17737759	0.29	1.2162162162162162
157658	0.13	0.8463302752293578
157778	0.25	0.9177877428998505
17136378	0.15	0.7966573816155988
17136564	0.62	1.0523415977961432
157476	0.19	1.2730496453900708
24664081	0.34	1.448
443597	0.84	0.9572039942938659
